user_id,edad,sesiones_30d,categoria_frecuente,gasto_historico,tiempo_promedio_sesion,descuento_usado,productos_vistos,abandono_carrito,compra
96,42,4,moda,352.54,610.07,0,19,1,0
97,62,8,belleza,475.97,190.46,1,20,1,0
98,58,4,juguetes,61.96,108.33,4,22,0,0
99,46,6,belleza,105.29,655.28,0,17,0,0
100,32,2,hogar,136.39,685.01,1,28,1,0
101,62,8,electronica,11.32,241.15,4,22,1,0
102,18,5,belleza,267.5,369.6,0,23,1,0
103,42,5,hogar,325.79,712.03,4,19,1,0
104,24,5,hogar,97.94,267.4,2,22,0,0
105,26,3,juguetes,82.05,255.17,4,23,0,0
106,41,5,electronica,107.36,477.79,1,20,1,0
107,18,7,electronica,165.05,336.77,3,24,1,0
108,61,4,belleza,245.08,149.63,1,32,0,0
109,25,3,hogar,11.31,238.77,0,21,1,0
110,41,8,belleza,10.74,258.52,1,21,1,0
111,28,2,juguetes,46.3,747.25,2,25,0,0
112,68,4,moda,358.16,744.57,2,17,1,0
113,34,7,hogar,24.64,331.79,4,22,1,0
114,25,6,belleza,900.91,686.31,0,12,1,0
115,52,6,hogar,162.65,788.67,1,14,0,0
116,52,4,belleza,342.02,787.73,4,15,1,0
117,50,3,belleza,80.62,677.63,0,17,1,0
118,22,4,electronica,271.43,457.23,1,21,0,0
119,59,5,moda,73.69,114.16,4,20,1,0
120,56,2,belleza,3.87,649.02,3,17,0,0
121,58,5,belleza,692.44,732.21,1,17,1,0
122,45,9,electronica,73.54,65.2,0,20,0,0
123,24,6,moda,460.18,568.22,4,27,0,0
124,26,2,hogar,391.92,372.8,3,22,0,0
125,25,5,electronica,50.47,50.3,4,15,1,0
126,29,1,hogar,47.2,132.66,1,14,0,0
127,51,6,belleza,212.1,276.01,1,20,0,0
128,50,6,juguetes,82.16,543.69,4,20,0,0
129,65,4,juguetes,52.11,651.24,0,18,1,0
130,40,8,moda,53.73,555.56,2,16,0,1
131,41,6,hogar,141.67,594.57,0,19,0,1
132,54,6,juguetes,150.24,328.88,1,19,1,1
133,52,5,electronica,420.21,652.68,2,17,1,0
134,61,4,belleza,36.51,347.67,3,22,0,0
135,57,4,electronica,159.48,579.83,0,14,1,0
136,39,4,juguetes,74.4,186.36,0,15,0,0
137,44,7,belleza,302.41,61.03,0,18,0,0
138,52,2,moda,145.76,342.18,1,25,0,0
139,18,7,moda,24.62,81.36,2,22,0,0
140,52,8,juguetes,175.48,665.57,0,24,0,0
141,54,4,moda,95.03,469.63,3,19,0,0
142,64,2,hogar,256.35,243.95,4,24,0,0
143,31,10,hogar,189.85,599.99,1,23,1,0
144,20,5,juguetes,161.43,362.42,4,21,1,0
145,18,3,electronica,27.35,475.1,1,20,1,0
146,22,3,electronica,540.7,172.47,3,24,1,0
147,43,5,electronica,178.09,436.42,0,28,0,0
148,31,2,juguetes,631.76,80.24,2,34,1,0
149,56,4,belleza,83.44,353.95,4,22,1,0
150,44,2,juguetes,368.76,186.39,1,17,1,1
151,26,4,belleza,287.22,757.57,1,17,1,0
152,32,4,electronica,41.97,371.89,2,26,1,0
153,32,6,electronica,315.6,412.28,3,19,0,0
154,43,6,moda,1.94,585.87,1,19,1,0
155,59,5,belleza,142.63,764.94,2,17,1,0
156,30,3,electronica,43.55,771.98,1,18,1,0
157,68,14,belleza,11.49,316.43,1,22,1,0
158,49,6,electronica,283.16,590.6,3,27,0,0
159,56,6,belleza,81.68,148.27,3,25,0,0
160,66,4,moda,338.87,103.39,3,22,0,1
161,69,6,hogar,50.33,709.08,1,18,1,0
162,49,6,hogar,155.67,447.52,4,10,0,0
163,21,6,juguetes,177.57,148.41,0,25,1,0
164,47,11,belleza,24.97,304.49,3,26,1,0
165,54,4,hogar,199.99,208.68,0,22,1,0
166,40,6,hogar,246.02,170.93,0,18,1,0
167,56,3,electronica,807.48,672.59,3,16,1,0
168,62,1,moda,120.35,245.4,0,20,0,0
169,32,11,juguetes,359.25,751.7,2,20,0,0
170,60,6,electronica,397.73,593.5,2,14,1,1
171,46,4,juguetes,71.71,550.19,2,15,1,0
172,53,2,moda,54.09,68.7,1,22,1,0
173,30,5,moda,227.57,91.79,1,20,0,0
174,49,6,moda,364.74,482.87,2,20,1,0
175,24,7,hogar,33.37,572.73,3,20,0,0
176,68,10,moda,271.61,406.23,0,22,0,0
177,39,3,belleza,378.6,328.42,4,25,0,0
178,45,6,belleza,411.15,172.66,4,19,1,0
179,19,5,hogar,132.56,633.86,4,21,0,0
180,59,5,belleza,163.93,437.4,0,20,1,0
181,62,4,hogar,31.39,512.06,0,20,0,0
182,23,7,moda,95.23,239.05,4,21,0,0
183,45,8,moda,2.78,753.73,4,21,1,0
184,45,5,hogar,252.65,594.05,2,22,0,0
185,61,4,moda,47.63,162.03,2,23,0,0
186,61,3,juguetes,1470.97,97.08,2,27,1,0
187,37,3,hogar,197.18,239.55,3,17,1,0
188,47,3,belleza,239.74,639.86,1,27,0,0
189,28,7,hogar,515.58,485.53,1,21,0,0
190,45,2,hogar,21.53,108.17,0,14,1,0
191,42,6,belleza,104.58,192.57,1,14,0,0
192,56,3,electronica,99.33,759.68,0,18,1,0
193,50,9,hogar,267.7,65.5,3,25,0,0
194,18,8,moda,426.44,667.99,0,15,1,0
195,44,4,moda,117.08,540.83,4,16,1,0
196,69,5,electronica,82.41,149.0,4,16,0,0
197,30,4,juguetes,44.93,104.46,1,10,0,0
198,58,3,moda,45.83,492.46,3,17,1,0
199,20,3,hogar,346.12,364.02,2,20,0,0
200,56,4,moda,52.44,239.3,2,22,0,0
201,23,11,electronica,77.26,187.25,0,19,0,0
202,25,6,hogar,339.92,400.66,3,22,1,0
203,44,3,juguetes,59.56,299.68,3,23,1,0
204,26,11,belleza,0.42,395.0,0,15,0,0
205,54,6,belleza,656.9,664.83,0,19,1,0
206,50,5,moda,280.86,362.09,4,23,1,0
207,68,4,electronica,30.69,198.45,1,22,0,0
208,59,5,electronica,284.65,30.48,0,20,1,0
209,61,1,juguetes,126.86,297.13,3,22,1,0
210,41,7,hogar,202.31,338.15,3,24,1,0
211,32,2,moda,99.97,790.33,1,13,1,0
212,49,8,electronica,73.1,593.37,2,15,0,0
213,49,4,juguetes,543.61,453.17,2,19,1,0
214,41,9,electronica,250.21,781.5,2,18,1,1
215,58,3,juguetes,334.89,373.65,3,18,0,0
216,69,3,moda,199.21,519.88,3,28,0,0
217,66,3,moda,90.32,462.96,3,23,1,0
218,66,4,electronica,95.47,636.07,4,13,1,0
219,69,3,hogar,643.64,621.35,4,17,0,0
220,29,6,juguetes,121.45,196.22,2,19,0,0
221,56,7,electronica,151.42,239.85,3,21,1,1
222,19,5,juguetes,9.94,99.16,3,20,0,0
223,20,5,moda,308.7,254.23,2,23,0,0
224,66,6,belleza,0.97,789.44,1,20,0,0
225,54,4,hogar,21.88,143.98,3,19,0,0
226,66,2,electronica,176.16,209.3,2,23,0,0
227,34,4,electronica,195.71,273.84,0,20,1,1
228,66,8,belleza,56.4,215.54,4,18,0,0
229,19,5,electronica,1251.63,798.57,4,29,1,0
230,19,8,juguetes,77.91,122.02,0,19,1,0
231,45,4,electronica,48.56,152.32,1,15,1,0
232,40,5,moda,375.23,154.75,0,22,1,0
233,54,4,moda,194.96,552.44,3,25,1,0
234,49,8,juguetes,27.19,220.76,2,24,0,0
235,50,2,electronica,167.83,543.01,1,21,1,0
236,18,3,juguetes,15.73,163.69,0,15,0,0
237,36,3,juguetes,313.7,349.21,1,11,1,0
238,19,5,belleza,37.22,188.7,0,19,1,0
239,61,4,juguetes,1135.39,109.02,4,17,0,0
240,43,5,hogar,60.88,561.22,3,15,0,0
241,49,9,electronica,580.34,240.65,3,19,1,1
242,23,6,hogar,621.56,597.45,4,19,0,0
243,49,3,electronica,25.99,395.23,4,22,0,0
244,21,4,electronica,102.51,341.4,4,15,0,0
245,28,5,electronica,619.82,687.22,0,18,0,0
246,34,5,juguetes,142.07,599.88,0,15,0,0
247,55,9,moda,527.06,196.55,4,21,1,0
248,41,8,juguetes,89.04,520.43,1,29,0,0
249,22,7,juguetes,65.61,521.65,3,17,1,0
250,69,5,moda,54.2,337.55,0,16,0,0
251,51,3,juguetes,229.0,563.06,1,12,1,0
252,23,3,electronica,246.13,399.52,2,15,0,0
253,39,9,belleza,558.29,217.27,2,23,0,0
254,28,7,moda,77.92,285.48,1,28,0,0
255,65,7,belleza,11.41,31.12,3,25,0,0
256,33,5,belleza,238.78,101.86,0,22,1,0
257,50,5,hogar,55.23,91.6,1,23,1,0
258,26,6,hogar,238.5,206.02,2,27,0,0
259,23,5,belleza,93.95,768.34,4,17,1,0
260,33,3,electronica,138.09,784.08,1,21,1,0
261,46,4,electronica,81.37,570.83,1,25,1,0
262,20,4,juguetes,108.62,730.86,3,25,1,0
263,37,5,moda,316.93,299.53,2,20,0,0
264,53,6,electronica,376.74,694.72,1,22,0,0
265,36,1,electronica,9.29,713.74,4,24,1,0
266,43,5,juguetes,26.7,136.44,2,25,1,0
267,20,7,moda,50.58,31.43,3,17,1,0
268,36,4,moda,389.3,171.81,3,26,0,0
269,37,8,juguetes,197.21,641.32,4,18,0,1
270,49,4,juguetes,463.38,472.87,2,20,0,0
271,24,7,electronica,128.24,436.71,3,24,0,0
272,69,1,hogar,340.41,59.26,0,23,1,0
273,58,4,hogar,138.41,687.22,3,23,1,0
274,50,5,electronica,204.77,50.17,3,24,1,0
275,57,5,hogar,687.27,76.98,4,16,1,0
276,56,6,electronica,123.97,278.31,1,20,1,0
277,35,5,hogar,91.51,144.41,1,22,1,0
278,57,2,belleza,196.85,176.52,3,19,0,0
279,18,5,hogar,64.39,455.72,1,21,1,0
280,28,6,moda,627.44,426.35,0,21,0,0
281,45,6,juguetes,256.42,609.88,3,20,0,0
282,42,4,belleza,394.9,127.09,2,19,0,0
283,67,3,hogar,147.72,423.85,1,14,1,0
284,40,4,moda,71.7,682.51,4,20,0,0
285,48,6,hogar,62.96,211.9,3,13,0,0
286,47,3,electronica,305.68,579.71,2,8,0,0
287,59,5,belleza,151.79,325.77,1,20,0,0
288,52,2,electronica,13.73,295.44,0,20,0,0
289,24,7,juguetes,467.24,333.21,3,18,0,0
290,33,4,juguetes,53.68,383.9,1,18,0,0
291,43,6,moda,165.23,134.35,2,29,0,0
292,65,7,belleza,336.26,253.11,4,16,1,0
293,69,2,juguetes,23.39,535.12,0,11,1,0
294,66,2,electronica,322.61,729.46,2,18,1,0
295,19,6,juguetes,57.35,533.51,3,17,0,0
296,18,4,electronica,788.74,178.35,0,23,1,0
297,65,6,juguetes,275.46,434.91,1,16,1,0
298,29,1,juguetes,214.36,162.74,0,16,1,0
299,22,2,hogar,90.74,622.02,2,15,1,0
300,54,7,moda,274.61,92.18,0,21,1,0
301,49,5,moda,381.93,741.99,2,15,0,0
302,26,6,electronica,259.28,283.21,3,8,1,1
303,58,7,hogar,49.78,223.0,3,13,0,0
304,52,6,electronica,346.87,772.52,3,13,0,0
305,36,4,juguetes,57.42,379.92,2,21,0,0
306,65,7,belleza,434.93,559.29,0,20,1,0
307,33,3,juguetes,415.55,627.69,4,21,0,0
308,20,4,juguetes,28.69,94.67,2,24,0,0
309,37,7,juguetes,36.27,118.77,1,25,0,0
310,41,3,hogar,591.5,712.18,0,22,1,0
311,50,5,hogar,28.14,377.1,0,24,1,0
312,41,4,electronica,395.93,774.29,2,24,1,0
313,69,4,moda,65.71,146.19,3,24,0,0
314,28,6,juguetes,110.15,470.04,4,19,0,0
315,66,7,juguetes,169.57,235.3,4,21,0,0
316,25,11,juguetes,634.34,551.15,4,26,0,0
317,53,5,juguetes,446.78,297.49,1,25,0,0
318,55,8,juguetes,269.04,750.38,2,24,0,0
319,57,8,electronica,36.28,330.98,3,26,0,0
320,37,4,moda,175.77,271.1,3,20,0,0
321,52,2,moda,138.73,742.82,1,16,1,0
322,65,5,moda,157.52,533.36,4,20,0,0
323,42,5,moda,124.58,148.33,4,23,0,0
324,52,3,electronica,49.23,307.39,3,8,0,0
325,42,9,electronica,7.63,249.67,2,13,0,0
326,46,2,moda,300.08,110.34,0,24,0,0
327,35,9,juguetes,1.88,91.06,3,24,0,0
328,63,5,belleza,63.44,766.13,2,21,1,0
329,35,2,moda,236.16,437.21,2,17,0,0
330,19,12,hogar,321.01,569.1,2,15,1,0
331,52,7,hogar,68.64,735.87,1,17,0,0
332,33,3,juguetes,95.26,130.53,1,16,1,0
333,58,4,hogar,152.96,165.44,0,32,1,0
334,53,0,electronica,84.83,463.75,0,19,0,0
335,50,2,hogar,277.84,567.73,4,16,1,0
336,21,7,moda,114.31,184.44,3,23,0,0
337,50,3,juguetes,41.26,396.72,0,25,1,0
338,31,6,hogar,224.28,87.59,0,21,0,0
339,38,5,electronica,221.46,506.56,0,14,1,0
340,65,4,juguetes,47.82,168.45,3,23,1,0
341,37,3,juguetes,683.43,784.91,4,19,0,0
342,25,5,moda,160.11,694.77,2,16,0,0
343,24,3,belleza,100.04,794.61,1,27,1,0
344,20,6,juguetes,53.01,490.89,4,16,1,0
345,34,3,hogar,232.79,104.08,1,22,1,0
346,50,2,hogar,104.6,194.17,2,25,1,0
347,65,1,belleza,423.98,739.07,0,23,1,0
348,29,4,belleza,50.91,617.19,0,10,1,1
349,68,3,moda,468.85,721.86,0,19,1,0
350,39,4,moda,241.55,507.61,4,18,0,1
351,39,3,juguetes,175.4,187.26,0,26,0,0
352,63,6,hogar,29.65,655.47,3,15,0,0
353,47,4,belleza,3.63,317.73,0,19,0,0
354,55,6,electronica,245.03,205.61,4,15,1,0
355,55,5,belleza,132.83,146.08,2,21,0,0
356,62,4,hogar,24.15,190.09,0,23,1,0
357,68,6,hogar,97.27,585.12,0,19,1,0
358,25,8,moda,183.87,162.55,1,11,1,0
359,44,4,moda,349.39,521.58,3,14,0,0
360,44,7,juguetes,48.63,712.87,0,23,1,0
361,51,7,moda,31.68,745.71,4,16,1,0
362,38,3,belleza,737.93,786.48,2,15,1,0
363,47,8,electronica,106.1,277.1,0,13,0,0
364,50,4,hogar,23.46,296.22,3,21,0,0
365,45,3,belleza,104.71,696.23,0,15,1,0
366,64,6,hogar,43.05,502.87,3,20,0,0
367,50,6,hogar,13.69,236.03,4,15,0,0
368,22,6,electronica,113.18,676.2,2,18,1,0
369,65,4,belleza,732.88,101.95,2,22,0,0
370,36,6,moda,643.86,580.15,1,22,1,0
371,21,7,electronica,9.64,572.33,1,19,0,0
372,52,4,hogar,359.87,664.94,2,17,1,0
373,66,4,belleza,89.31,135.03,0,15,1,0
374,34,6,electronica,1229.48,246.27,2,18,1,0
375,61,8,electronica,71.94,788.1,0,17,0,0
376,45,5,moda,265.9,398.26,3,16,0,0
377,47,3,electronica,29.49,206.94,3,20,0,0
378,46,2,moda,52.99,644.0,2,26,0,0
379,63,1,juguetes,397.98,224.83,1,29,1,0
380,23,7,belleza,316.65,220.9,1,16,0,0
381,52,7,juguetes,205.63,501.36,2,26,1,0
382,58,7,juguetes,140.95,511.08,0,21,0,0
383,54,3,moda,262.34,645.69,2,24,1,0
384,41,4,moda,190.84,322.38,0,19,0,0
385,46,5,juguetes,93.12,239.06,4,28,1,0
386,66,6,hogar,72.48,624.11,0,20,1,0
387,63,8,electronica,28.98,549.26,2,21,0,0
388,48,10,juguetes,236.24,632.84,1,20,0,0
389,52,5,hogar,25.2,751.24,4,22,0,0
390,50,5,hogar,290.29,229.68,1,25,0,0
391,69,5,juguetes,274.17,473.84,3,18,0,0
392,38,4,moda,51.65,282.25,2,19,1,0
393,49,3,moda,323.51,187.65,1,9,1,0
394,40,7,hogar,39.14,428.62,4,15,0,0
395,50,6,hogar,119.26,497.79,4,29,1,0
396,20,2,juguetes,202.68,520.13,1,21,1,0
397,35,1,electronica,562.57,145.45,1,20,0,0
398,42,4,electronica,265.41,70.02,3,22,1,0
399,59,11,hogar,121.98,462.36,2,24,0,0
400,48,3,belleza,60.36,592.82,1,15,1,0
401,20,2,hogar,274.75,363.93,4,15,1,0
402,57,4,moda,250.47,716.0,0,17,1,0
403,63,4,hogar,594.38,231.05,3,19,0,0
404,41,9,electronica,127.9,221.36,0,15,0,0
405,67,3,electronica,42.08,436.41,0,22,0,0
406,49,2,hogar,211.48,421.74,0,23,0,1
407,64,6,hogar,52.43,386.95,0,19,0,0
408,39,5,juguetes,557.67,432.57,2,14,0,0
409,40,6,belleza,96.1,372.83,1,25,0,0
410,19,4,juguetes,62.27,409.24,1,24,0,0
411,44,1,electronica,57.45,45.54,4,19,0,0
412,59,3,moda,108.71,449.17,3,17,1,0
413,19,5,belleza,256.99,138.93,2,20,0,0
414,43,7,electronica,229.64,220.7,4,16,1,0
415,34,9,belleza,128.85,236.43,3,18,1,0
416,57,2,electronica,473.6,144.48,3,24,1,0
417,50,5,belleza,31.5,509.68,4,21,1,0
418,26,4,electronica,260.94,223.09,2,24,0,0
419,60,3,hogar,88.69,53.48,4,17,0,0
420,65,4,juguetes,710.37,670.09,2,22,1,0
421,56,7,electronica,231.23,658.66,4,19,0,0
422,46,5,juguetes,210.12,216.23,1,17,1,0
423,59,3,juguetes,324.01,32.7,3,23,1,0
424,43,6,juguetes,207.44,328.31,4,19,1,0
425,52,2,hogar,85.91,401.48,1,20,0,0
426,67,6,belleza,51.23,174.98,0,25,1,0
427,42,4,juguetes,144.14,66.84,1,20,1,0
428,41,4,juguetes,109.31,343.33,0,26,0,0
429,30,6,juguetes,6.69,478.52,3,15,0,0
430,24,2,electronica,527.16,66.45,0,16,0,0
431,53,4,electronica,389.27,571.29,2,24,0,0
432,62,1,moda,25.79,407.44,4,17,1,0
433,37,7,belleza,278.46,606.09,4,12,1,0
434,18,4,juguetes,356.17,488.6,2,17,0,0
435,25,6,moda,148.05,625.16,3,19,0,0
436,63,3,juguetes,115.69,329.55,0,15,1,0
437,33,11,juguetes,261.34,237.81,3,19,0,0
438,31,4,moda,153.36,289.28,2,20,1,0
439,29,7,belleza,28.05,641.05,0,17,0,0
440,68,11,belleza,213.26,290.9,2,21,1,0
441,40,2,juguetes,21.55,425.92,4,24,1,0
442,32,3,hogar,2.34,660.8,2,22,0,0
443,45,2,juguetes,47.56,760.01,2,21,1,0
444,51,3,moda,209.38,382.05,3,8,1,0
445,19,7,hogar,105.21,720.13,0,26,0,1
446,49,4,belleza,160.87,724.36,2,25,1,0
447,40,5,juguetes,15.95,221.22,2,20,0,0
448,39,5,hogar,134.48,716.51,4,16,0,0
449,68,5,hogar,173.28,564.16,0,18,0,0
450,42,5,electronica,345.17,738.45,3,20,1,0
451,39,7,moda,132.83,492.55,0,8,0,0
452,39,6,juguetes,226.74,507.23,0,11,0,0
453,66,3,electronica,643.22,253.88,3,29,0,0
454,69,7,electronica,329.46,121.53,0,11,0,0
455,59,6,hogar,327.79,447.88,0,19,0,0
456,23,5,belleza,23.3,686.21,2,18,1,0
457,32,2,electronica,514.0,255.46,2,16,0,0
458,60,6,juguetes,56.85,36.22,3,21,0,0
459,54,6,belleza,76.33,274.62,1,26,0,0
460,50,3,moda,6.64,229.64,0,19,0,0
461,25,11,electronica,125.18,591.19,1,31,1,0
462,61,5,juguetes,161.58,430.24,3,20,0,0
463,61,6,hogar,46.74,430.36,1,28,1,0
464,22,7,hogar,256.39,692.35,2,27,1,0
465,56,5,belleza,325.57,517.37,0,22,1,0
466,21,5,juguetes,30.63,680.25,2,24,0,0
467,23,5,juguetes,182.91,93.39,4,21,1,0
468,62,5,hogar,155.34,638.89,4,15,0,0
469,49,4,electronica,339.0,352.66,2,20,0,0
470,69,7,juguetes,25.59,128.22,3,20,0,0
471,47,3,juguetes,102.11,587.62,0,22,0,0
472,64,4,belleza,204.65,650.56,3,22,0,0
473,52,3,moda,207.29,71.58,4,12,1,0
474,57,2,belleza,115.07,473.53,1,15,0,0
475,69,4,moda,245.47,736.07,3,22,1,0
476,33,3,moda,561.73,487.01,4,22,0,0
477,30,7,hogar,212.93,479.54,3,18,0,0
478,67,2,belleza,95.51,203.08,0,17,1,0
479,59,4,hogar,321.84,53.19,3,17,0,0
480,47,6,belleza,368.84,381.97,1,12,1,0
481,36,4,moda,192.41,398.7,4,16,0,0
482,34,7,electronica,300.22,138.31,0,12,1,0
483,36,6,juguetes,178.63,462.58,4,27,1,0
484,45,5,hogar,339.4,174.5,3,26,0,0
485,43,2,belleza,148.86,714.25,1,19,1,0
486,54,7,hogar,35.84,193.86,0,24,1,0
487,43,7,belleza,113.07,572.34,4,16,1,0
488,40,6,juguetes,84.59,593.51,1,22,1,0
489,26,5,hogar,103.57,74.86,2,21,1,0
490,29,4,juguetes,21.42,620.95,0,20,0,0
491,18,8,moda,119.46,726.27,4,25,0,1
492,18,7,belleza,18.76,336.07,2,14,0,0
493,64,8,hogar,42.37,476.98,2,27,1,0
494,51,2,moda,8.03,151.89,3,25,0,0
495,49,7,moda,123.43,406.17,3,24,0,0
496,65,3,belleza,229.95,666.82,3,17,0,0
497,42,3,belleza,112.81,129.47,3,22,1,0
498,57,11,moda,539.65,314.52,1,21,1,0
499,62,9,belleza,79.08,327.14,0,19,0,0
500,18,4,hogar,357.35,349.05,4,17,1,0
501,33,4,electronica,108.68,266.97,0,17,0,0
502,56,3,electronica,133.94,199.6,0,20,0,0
503,22,7,juguetes,87.86,478.55,3,23,0,0
504,39,5,electronica,50.38,774.88,0,20,0,0
505,46,6,belleza,142.38,275.03,0,16,0,0
506,20,5,electronica,27.06,688.48,3,20,1,0
507,29,9,belleza,214.26,163.52,3,32,1,0
508,43,10,hogar,130.9,126.32,0,22,0,0
509,33,5,moda,347.64,642.27,3,22,1,0
510,68,6,moda,123.74,321.62,2,17,1,0
511,54,3,electronica,21.65,267.17,0,15,1,1
512,39,8,belleza,105.23,702.52,2,19,0,0
513,46,3,hogar,223.7,130.75,3,23,0,0
514,31,3,belleza,117.85,478.44,0,26,0,0
515,45,2,electronica,64.41,794.37,2,18,1,0
516,22,2,juguetes,676.29,523.0,3,23,0,0
517,64,4,juguetes,32.32,563.46,2,10,1,0
518,66,2,belleza,222.26,678.39,3,20,1,0
519,47,7,hogar,24.59,599.02,1,17,0,0
520,63,9,belleza,59.42,779.26,1,21,0,0
521,69,1,belleza,25.57,77.6,1,30,1,0
522,22,8,moda,636.72,83.85,4,15,0,0
523,29,5,hogar,360.51,67.08,1,22,1,0
524,33,4,belleza,86.34,789.41,0,20,1,0
525,43,5,belleza,186.7,282.28,1,24,1,1
526,43,3,juguetes,17.54,109.92,1,20,0,0
527,65,1,hogar,34.42,420.86,1,30,1,0
528,38,3,juguetes,31.51,143.71,3,14,1,0
529,56,5,belleza,85.33,418.13,2,17,1,0
530,53,5,electronica,289.76,340.65,0,23,1,0
531,50,3,juguetes,81.81,187.49,1,19,0,1
532,47,7,electronica,142.38,271.21,2,15,0,0
